id,created_at,merchant,date,category,payment_source,amount,user_name,items,receipt_url,transfer_to
0396321c-2007-437e-b5d0-c0bca41b6162,2026-07-12 08:41:02.646508+00,Gosend,2026-07-12,Transportasi,OVO Istri,13000.00,Istri,[],,
04dc831c-c9e5-47b0-a4f1-1cd5fc2e4102,2026-07-05 05:11:24.80002+00,Gorengan pasar,2026-07-05,Makanan,Cash Suami,10000.00,Suami,[],,
05d2cde2-31f4-4b7c-ab70-c2b48e9abad8,2026-07-09 09:47:00.174555+00,Belikopi,2026-07-09,Makanan,OVO Istri,25000.00,Istri,[],,
065d6af3-6924-4697-bc86-c33d0bf35bf1,2026-07-19 07:19:52.659439+00,Indomaret,2026-07-19,Makanan,Cash Suami,28000.00,Suami,"[{""name"": ""FLOATY SNACK BWNG 60"", ""price"": 9900, ""category"": ""Makanan"", ""quantity"": 1}, {""name"": ""GURIBEE KEJU 65G"", ""price"": 8600, ""category"": ""Makanan"", ""quantity"": 1}, {""name"": ""RITZ CRCKRS CHOC 91G"", ""price"": 9500, ""category"": ""Makanan"", ""quantity"": 1}]",,
07d8938a-bf29-495d-a111-bfccb780679d,2026-07-15 05:29:01.0396+00,Saldo awal shopee pay,2026-07-15,Saldo Awal,ShopeePay Suami,38617.00,Suami,[],,
09d154b8-bd88-4603-85bf-c8626a549cd8,2026-07-09 02:27:25.281686+00,Kue anisah bu lina,2026-07-08,Makanan,Cash Istri,34000.00,Istri,[],,
09fdf7b6-e481-4333-98f1-071b3467f079,2026-07-10 02:19:01.986945+00,Ngasih mak mi,2026-07-10,Sosial & Ibadah,Cash Istri,25000.00,Istri,[],,
0aab4a0c-20e1-4186-9fea-b4b59f208e0e,2026-07-14 03:22:47.503643+00,Alfamidi tissue basah,2026-07-14,Kebutuhan Bayi,BNI Istri,24000.00,Istri,[],,
0ae6269b-57cf-425d-9858-e93a3c0efac0,2026-07-13 10:37:45.85172+00,Bayar sisa gojek istri,2026-07-13,Transportasi,Cash Suami,5000.00,Suami,[],,
0b22471d-e6c0-4bf3-b1de-30d3865c7b15,2026-07-09 10:37:59.866262+00,Lumpia stasiun,2026-07-09,Makanan,Cash Suami,15000.00,Suami,[],,
0bf6d4f8-a283-413b-94c3-9b2d1793202e,2026-07-13 11:23:33.357368+00,Isi gopay,2026-07-13,Transfer,Mandiri Suami,100000.00,Suami,[],,Gopay Suami
0cbe232a-8fad-4462-8ab7-772c7de48dbf,2026-07-08 11:19:42.88352+00,Grab ke stasiun,2026-07-08,Transportasi,OVO Suami,7000.00,Suami,[],,
0dfa1b0a-496d-47aa-8c51-361bd13c9067,2026-07-08 01:07:49.033277+00,Ambil cash,2026-07-08,Transfer,Cash Istri,250000.00,Istri,[],,Cash Suami
0f70b651-a439-4051-9e70-c505994b7a85,2026-07-07 06:46:48.261999+00,Jajan indomaret,2026-07-07,Makanan,Cash Istri,37000.00,Istri,[],,
152eb883-5238-4f26-9d6d-a0e731ecab70,2026-07-16 09:51:34.364514+00,Grab b18,2026-07-16,Transportasi,OVO Istri,19000.00,Istri,[],,
1566e231-dcac-4887-8c76-9e83037d92b7,2026-07-18 03:47:26.586194+00,Grab Bu Ani,2026-07-16,Kebutuhan Bulanan,OVO Istri,17000.00,Istri,[],,
17f8a989-b695-42e6-9589-2ead0112079a,2026-07-14 03:23:24.147491+00,Air mineral kardus,2026-07-14,Sosial & Ibadah,BNI Istri,43000.00,Suami,[],,
189601c8-505c-4d59-ac8f-c3c908526067,2026-07-13 14:26:20.34231+00,Makan mlamm,2026-07-13,Makanan,OVO Istri,28000.00,Istri,[],,
1dafef7b-2bcc-434d-8706-e764dc2c79a8,2026-07-09 02:25:09.951039+00,Tahu walik,2026-07-08,Makanan,Mandiri Suami,10000.00,Suami,[],,
1de47dc0-6390-4faf-b1aa-3f6df40da1f7,2026-07-13 14:42:06.407021+00,Jajan Bu Lina,2026-07-13,Makanan,Cash Istri,23000.00,Istri,[],,
23f844f8-8e5c-4448-af27-355b5c7b9bd1,2026-07-15 12:57:58.97923+00,Grab ke stasiun,2026-07-15,Transportasi,OVO Suami,7000.00,Suami,[],,
24cd45f3-2036-4f31-8109-27ea30a63fc1,2026-07-19 07:19:53.627844+00,Indomaret,2026-07-19,Kebutuhan Bulanan,Cash Suami,35000.00,Suami,"[{""name"": ""CHARM CL. FRSH NW 17S"", ""price"": 17500, ""category"": ""Kebutuhan Bulanan"", ""quantity"": 1}, {""name"": ""CHARM CL. FRSH WG 15S"", ""price"": 17500, ""category"": ""Kebutuhan Bulanan"", ""quantity"": 1}]",,
25a7bd59-f14a-4125-a62b-2f0aa13bc52c,2026-07-12 04:19:55.724173+00,"Tissue see u ",2026-07-12,Kebutuhan Bulanan,Cash Suami,50000.00,Suami,[],,
26708bcb-ae89-4cc7-ae3d-5ece94640266,2026-07-10 10:26:11.538957+00,Kaos screamous,2026-07-10,Hiburan,Mandiri Suami,270000.00,Suami,[],,
27b96c91-3a53-44aa-8f12-867434474354,2026-07-13 14:25:46.827615+00,Ngasih bu nurul,2026-07-10,Sosial & Ibadah,Cash Istri,100000.00,Istri,[],,
27bface8-e332-40b9-a942-02c0c4a92c22,2026-07-11 14:36:41.286584+00,Grab regency,2026-07-11,Transportasi,OVO Istri,10000.00,Istri,[],,
28ca2d80-5f39-4c3c-86cb-737cc9f73faf,2026-07-05 11:32:48.633611+00,Transfer bulanan bu lina + farrel,2026-07-05,Keluarga,Mandiri Suami,2000000.00,Suami,[],,
29ea177a-cd86-4729-a1c8-f15f6cb71448,2026-07-10 02:21:54.24422+00,Susu 2box kecil,2026-07-08,Kebutuhan Bayi,Cash Istri,71000.00,Istri,[],,
2bba711b-b286-4513-8c9b-89d0254f638f,2026-07-09 02:28:48.366191+00,Roti gembul,2026-07-08,Makanan,OVO Istri,27000.00,Istri,[],,
2cb5de0b-ad05-4168-9915-6bb7ae5b428b,2026-07-10 02:07:04.054445+00,"Le minerale ",2026-07-09,Kesehatan,Cash Suami,6000.00,Suami,[],,
2f700371-1712-4304-8c88-80d1459668e8,2026-07-13 14:27:47.094144+00,Mangga (papi pinjem),2026-07-12,Makanan,BNI Istri,103000.00,Istri,[],,
31f4bbf1-aa95-4862-854a-2c5bfbe6d21e,2026-07-10 02:23:29.567895+00,Salad buah,2026-07-07,Makanan,Cash Istri,19000.00,Istri,[],,
328b9f0d-5870-4512-9416-8e9537a95ec4,2026-07-15 04:46:34.257238+00,Tip driver,2026-07-15,Sosial & Ibadah,OVO Suami,10000.00,Suami,[],,
3539df8c-9cb3-46c0-91d0-b2decb382736,2026-07-07 21:51:47.068174+00,Pp mekari kereta,2026-07-08,Transportasi,Mandiri Suami,22000.00,Suami,[],,
38beeff4-9b90-458a-b0df-aa4437727468,2026-07-11 03:33:06.698911+00,Badminton,2026-07-11,Kesehatan,Cash Suami,20000.00,Suami,[],,
399af125-4fc7-4006-b73e-1ebc81828a5a,2026-07-14 03:22:09.72964+00,Alfamidi pamper,2026-07-14,Kebutuhan Bayi,BNI Istri,56000.00,Suami,[],,
3aa7b783-e29d-4ea0-927b-5063a8bfc9b3,2026-07-15 12:58:31.453947+00,Parkir stasiun,2026-07-15,Transportasi,Cash Suami,6000.00,Suami,[],,
3b743642-5eb0-4e67-9092-50d4c1ac805e,2026-07-13 14:21:49.32864+00,Sarapan,2026-07-13,Makanan,Cash Istri,20000.00,Istri,[],,
3b9effcc-52fd-40a0-a574-7f4914bc42ff,2026-07-11 01:25:22.363669+00,Grab pulang,2026-07-10,Transportasi,OVO Istri,8000.00,Istri,[],,
3bc0eeec-2bca-4ec7-9b0b-6628e39e9c55,2026-07-16 13:38:47.821793+00,Rotio,2026-07-16,Makanan,Mandiri Suami,15000.00,Suami,[],,
3d41c57b-610e-4995-9548-11f4ed8da002,2026-07-08 06:16:35.757563+00,"Isi ovo ",2026-07-08,Transfer,Mandiri Suami,100000.00,Suami,[],,OVO Suami
3e599796-168b-4024-928b-7b68f179684f,2026-07-09 02:25:43.836519+00,Pp ar rahma,2026-07-08,Transportasi,OVO Istri,16000.00,Istri,[],,
46563dd4-9c63-4f32-a6e4-f6528f3b6973,2026-07-13 05:48:31.306638+00,Hutang Diah,2026-07-10,Pendapatan,Cash Istri,1500000.00,Istri,[],,
4ebf88af-08ab-4c61-897d-fa2ab41f58c8,2026-07-18 03:48:39.319692+00,Warung ndelik,2026-07-17,Makanan,BNI Istri,40000.00,Istri,[],,
58ba8fdd-18fa-4fd9-ac97-97b52ff79e7a,2026-07-07 15:21:33.242003+00,Ovo,2026-07-07,Transfer,BNI Istri,150000.00,Istri,[],,OVO Istri
5b161681-90a9-4082-ae0b-b1b2372d2bdc,2026-07-14 06:24:38.833394+00,Kikil mihun bu Faiqo,2026-07-14,Makanan,Cash Suami,40000.00,Suami,[],,
600c288f-4a69-4638-8e74-9bcbccfbbd18,2026-07-14 03:23:46.347683+00,Grab berangkat,2026-07-14,Transportasi,OVO Istri,20000.00,Istri,[],,
6355fbfc-ac96-4af8-89b6-2709d321d757,2026-07-09 10:38:42.015837+00,Grab bike ke regency,2026-07-09,Transportasi,OVO Suami,7000.00,Suami,[],,
6473ff2b-fb2f-45ee-9d9c-c87d25ce9e54,2026-07-15 12:58:58.613315+00,Burger sidowayah,2026-07-15,Makanan,Mandiri Suami,38000.00,Suami,[],,
648410c0-abb6-43aa-83f3-c6ca12973021,2026-07-17 06:37:19.229263+00,Baby fever Iyel,2026-07-17,Kebutuhan Bayi,Cash Suami,25500.00,Suami,[],,
66ac3eee-9cd9-458c-99e4-a72ae9b8cad9,2026-07-16 13:39:08.478172+00,Grab ke kantor,2026-07-16,Transportasi,OVO Suami,10500.00,Suami,[],,
6787fbf2-4e24-4385-b784-f5dd47b6f078,2026-07-18 06:28:35.819597+00,Geprek jon,2026-07-18,Makanan,Cash Suami,22000.00,Suami,[],,
684ad34a-db0a-4061-910f-7846edf1d6a8,2026-07-09 02:24:41.600356+00,Isi bensin motor,2026-07-08,Transportasi,Cash Suami,50000.00,Suami,[],,
68a6e815-71d2-430f-b5a4-60031d3b29ee,2026-07-09 07:03:39.317771+00,Grab,2026-07-09,Transportasi,OVO Istri,20000.00,Istri,[],,
69dbc8f9-8cc2-4ad9-b308-22e8fc93962b,2026-07-11 01:25:50.86925+00,Ovo kerja,2026-07-10,Transportasi,OVO Istri,9500.00,Istri,[],,
6b3f7f70-1839-4f56-946e-46162525e591,2026-07-13 14:41:22.272928+00,Njajan,2026-07-09,Makanan,OVO Istri,41000.00,Istri,[],,
6c073d74-8c0e-49ef-993d-7699dae94166,2026-07-05 11:18:13.645759+00,Miejol,2026-07-05,Makanan,OVO Istri,25500.00,Istri,[],,
6c15d74d-c3cd-490a-9c8d-90d6babff13b,2026-07-18 13:34:46.64257+00,Grab berangkat,2026-07-18,Transportasi,OVO Istri,8000.00,Istri,[],,
6cb8536f-7138-4519-b580-177df26824a3,2026-07-05 11:17:38.870117+00,Top up ovo,2026-07-05,Transfer,BNI Istri,100000.00,Istri,[],,OVO Istri
6cd8be05-69de-4a5e-8983-185d1c056cce,2026-07-16 03:12:59.022164+00,Grab kerja,2026-07-16,Transportasi,OVO Istri,10000.00,Istri,[],,
6d54012b-54b3-4d25-b114-6a1ad0d174c1,2026-07-07 12:06:51.418633+00,Rocket chicken,2026-07-07,Makanan,Gopay Suami,38950.00,Suami,[],,
6edbbc58-694e-4188-b4cb-2299ad9e9ec6,2026-07-07 06:46:11.885479+00,PP PMI,2026-07-07,Transportasi,OVO Istri,38000.00,Istri,[],,
